@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,2,23'

@attribute habitat {d,g,l,m,p,u,w}
@attribute population {a,c,n,s,v,y}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute ring-type {c,e,f,l,n,p,s,z}
@attribute ring-number {n,o,t}
@attribute veil-color {n,o,w,y}
@attribute veil-type {p,u}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-root {b,c,e,r,u,z}
@attribute stalk-shape {e,t}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute gill-size {b,n}
@attribute cap-surface {f,g,s,y}
@attribute class {e,p}

@data
d,y,n,p,o,w,p,g,p,s,s,b,t,u,b,f,e
d,v,h,l,o,w,p,p,p,k,k,b,e,h,b,f,p
d,v,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,n,n,k,k,b,e,p,b,f,p
d,s,n,p,o,w,p,w,w,s,s,b,e,u,n,f,p
d,v,n,p,o,w,p,w,w,s,s,b,e,u,n,f,p
g,v,h,l,o,w,p,n,p,k,k,b,e,p,b,y,p
g,s,h,p,o,w,p,w,w,s,s,b,t,h,b,s,p
g,v,h,l,o,w,p,b,p,k,k,b,e,h,b,y,p
d,y,k,p,o,w,p,g,p,s,s,b,t,n,b,y,e
d,v,h,l,o,w,p,b,b,k,k,b,e,p,b,f,p
d,v,k,p,o,w,p,p,p,s,s,b,t,p,b,f,e
p,y,h,l,o,w,p,b,p,k,k,b,e,p,b,y,p
d,v,k,p,o,w,p,w,g,s,s,b,t,n,b,y,e
d,y,k,p,o,w,p,p,g,s,s,b,t,w,b,f,e
p,y,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
d,y,h,l,o,w,p,p,b,k,k,b,e,h,b,y,p
d,v,n,p,o,w,p,g,g,s,s,b,t,w,b,f,e
p,v,h,l,o,w,p,b,b,k,k,b,e,p,b,f,p
d,y,k,p,o,w,p,p,p,s,s,b,t,w,b,f,e
d,y,k,p,o,w,p,g,w,s,s,b,t,w,b,y,e
d,v,n,p,o,w,p,g,g,s,s,b,t,w,b,y,e
p,y,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
d,v,k,p,o,w,p,p,g,s,s,b,t,u,b,f,e
d,v,h,l,o,w,p,b,p,k,k,b,e,p,b,y,p
p,v,h,l,o,w,p,n,p,k,k,b,e,p,b,y,p
d,v,h,l,o,w,p,b,b,k,k,b,e,p,b,y,p
p,v,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
d,v,h,l,o,w,p,n,n,k,k,b,e,p,b,y,p
d,v,n,p,o,w,p,g,g,s,s,b,t,u,b,f,e
d,v,n,p,o,w,p,w,g,s,s,b,t,u,b,y,e
g,v,h,l,o,w,p,p,b,k,k,b,e,g,b,y,p
d,y,h,l,o,w,p,p,p,k,k,b,e,h,b,f,p
p,y,h,l,o,w,p,b,p,k,k,b,e,p,b,y,p
p,v,w,e,o,w,p,w,w,s,k,?,t,b,n,y,p
p,y,h,l,o,w,p,n,n,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
d,v,n,p,o,w,p,w,w,s,s,b,e,u,n,s,p
g,v,h,l,o,w,p,b,p,k,k,b,e,p,b,f,p
g,s,h,p,o,w,p,w,w,f,s,b,t,p,b,s,p
d,v,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
d,y,h,l,o,w,p,p,p,k,k,b,e,p,b,y,p
d,s,k,p,o,w,p,w,w,s,s,b,e,u,n,s,p
d,v,h,l,o,w,p,n,p,k,k,b,e,h,b,y,p
d,v,k,p,o,w,p,p,w,s,s,b,t,w,b,f,e
g,y,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
d,v,h,l,o,w,p,p,n,k,k,b,e,p,b,f,p
p,v,h,l,o,w,p,b,p,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,n,p,k,k,b,e,p,b,f,p
d,y,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
d,v,k,p,o,w,p,w,g,s,s,b,t,u,b,f,e
d,y,h,l,o,w,p,p,p,k,k,b,e,p,b,f,p
d,y,n,p,o,w,p,p,w,s,s,b,t,u,b,y,e
d,v,h,l,o,w,p,p,b,k,k,b,e,h,b,y,p
p,y,h,l,o,w,p,p,p,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
d,v,k,p,o,w,p,w,w,s,s,b,e,u,n,s,p
d,y,h,l,o,w,p,n,n,k,k,b,e,h,b,y,p
d,v,k,p,o,w,p,w,g,s,s,b,t,p,b,y,e
d,s,k,p,o,w,p,w,w,s,s,b,e,u,n,f,p
d,v,h,l,o,w,p,b,p,k,k,b,e,p,b,f,p
d,y,h,l,o,w,p,n,b,k,k,b,e,p,b,f,p
d,v,n,p,o,w,p,w,w,s,s,b,e,u,n,f,p
d,y,h,l,o,w,p,p,p,k,k,b,e,p,b,f,p
p,v,h,l,o,w,p,n,p,k,k,b,e,h,b,f,p
d,v,k,p,o,w,p,g,g,s,s,b,t,p,b,y,e
p,v,h,l,o,w,p,b,p,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,p,b,k,k,b,e,g,b,f,p
d,s,n,p,o,w,p,w,w,s,s,b,e,g,n,f,p
d,v,k,p,o,w,p,w,w,s,s,b,e,u,n,s,p
d,v,n,p,o,w,p,p,w,s,s,b,t,n,b,f,e
g,v,h,l,o,w,p,b,b,k,k,b,e,h,b,y,p
d,y,n,p,o,w,p,w,w,s,s,b,t,n,b,f,e
d,y,k,p,o,w,p,w,w,s,s,b,t,p,b,y,e
d,y,h,l,o,w,p,p,b,k,k,b,e,p,b,y,p
g,y,h,l,o,w,p,n,b,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
d,y,h,l,o,w,p,b,n,k,k,b,e,g,b,f,p
p,y,h,l,o,w,p,n,p,k,k,b,e,g,b,f,p
d,y,n,p,o,w,p,p,p,s,s,b,t,w,b,y,e
p,v,h,l,o,w,p,p,b,k,k,b,e,p,b,y,p
p,v,h,l,o,w,p,n,n,k,k,b,e,h,b,y,p
p,v,h,l,o,w,p,n,b,k,k,b,e,p,b,f,p
p,y,h,l,o,w,p,n,b,k,k,b,e,p,b,f,p
d,v,n,p,o,w,p,g,w,s,s,b,t,u,b,f,e
d,v,n,p,o,w,p,g,g,s,s,b,t,p,b,y,e
g,y,h,l,o,w,p,n,p,k,k,b,e,h,b,f,p
d,y,h,f,o,w,p,w,w,f,s,?,e,h,n,y,e
d,y,n,p,o,w,p,w,p,s,s,b,t,u,b,y,e
g,v,h,l,o,w,p,p,p,k,k,b,e,p,b,y,p
g,v,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
p,y,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
p,v,h,l,o,w,p,b,p,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,b,b,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,n,b,k,k,b,e,p,b,y,p
p,y,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
d,v,n,p,o,w,p,g,p,s,s,b,t,u,b,f,e
d,y,h,l,o,w,p,p,n,k,k,b,e,h,b,y,p
d,v,n,p,o,w,p,g,g,s,s,b,t,p,b,y,e
d,v,h,l,o,w,p,n,b,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
d,y,n,p,o,w,p,w,w,s,s,b,t,n,b,y,e
d,y,k,p,o,w,p,g,p,s,s,b,t,w,b,f,e
g,v,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
d,v,k,p,o,w,p,p,p,s,s,b,t,w,b,f,e
d,y,n,p,o,w,p,w,p,s,s,b,t,p,b,f,e
p,v,h,l,o,w,p,b,b,k,k,b,e,h,b,y,p
d,v,k,p,o,w,p,w,w,s,s,b,e,u,n,f,p
d,y,h,l,o,w,p,n,b,k,k,b,e,p,b,y,p
d,v,w,e,o,w,p,p,p,s,k,?,t,b,n,y,p
p,v,h,l,o,w,p,p,b,k,k,b,e,p,b,f,p
d,y,h,l,o,w,p,p,b,k,k,b,e,p,b,y,p
d,y,n,p,o,w,p,p,w,s,s,b,t,u,b,y,e
l,v,w,e,o,w,p,p,p,s,s,?,t,b,n,y,p
d,v,n,p,o,w,p,g,g,s,s,b,t,n,b,y,e
m,v,r,p,t,w,p,w,w,s,s,b,e,g,b,s,p
d,y,k,p,o,w,p,g,g,s,s,b,t,w,b,f,e
g,v,h,l,o,w,p,n,b,k,k,b,e,p,b,f,p
d,y,k,p,o,w,p,g,w,s,s,b,t,w,b,y,e
p,y,h,l,o,w,p,n,p,k,k,b,e,p,b,f,p
g,y,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
g,v,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
d,v,n,p,o,w,p,w,p,s,s,b,t,u,b,f,e
p,y,h,l,o,w,p,p,n,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,b,p,k,k,b,e,g,b,f,p
d,v,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
p,y,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
g,v,h,l,o,w,p,n,p,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,b,n,k,k,b,e,p,b,y,p
d,v,k,p,o,w,p,g,g,s,s,b,t,u,b,y,e
d,v,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
g,v,h,l,o,w,p,p,n,k,k,b,e,h,b,f,p
d,v,k,p,o,w,p,p,w,s,s,b,t,u,b,f,e
p,v,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,p,b,k,k,b,e,h,b,y,p
d,y,k,p,o,w,p,p,p,s,s,b,t,p,b,y,e
p,y,h,l,o,w,p,p,b,k,k,b,e,p,b,y,p
d,y,k,p,o,w,p,g,g,s,s,b,t,p,b,f,e
g,v,h,l,o,w,p,b,b,k,k,b,e,g,b,y,p
d,v,h,l,o,w,p,b,b,k,k,b,e,h,b,y,p
d,v,h,l,o,w,p,b,b,k,k,b,e,p,b,y,p
d,s,k,p,o,w,p,w,w,s,s,b,e,g,n,s,p
d,v,k,p,o,w,p,p,g,s,s,b,t,w,b,f,e
g,y,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
d,y,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,n,b,k,k,b,e,h,b,y,p
d,v,k,p,o,w,p,w,p,s,s,b,t,w,b,y,e
d,y,h,l,o,w,p,n,b,k,k,b,e,p,b,y,p
d,y,h,l,o,w,p,b,p,k,k,b,e,g,b,f,p
d,v,n,p,o,w,p,g,w,s,s,b,t,w,b,y,e
d,v,k,p,o,w,p,g,p,s,s,b,t,w,b,y,e
u,v,h,p,o,w,p,w,w,f,f,b,t,p,b,s,p
p,y,h,l,o,w,p,n,p,k,k,b,e,g,b,f,p
p,v,h,l,o,w,p,b,n,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,b,p,k,k,b,e,g,b,y,p
d,v,h,l,o,w,p,n,b,k,k,b,e,h,b,f,p
d,v,h,l,o,w,p,n,b,k,k,b,e,p,b,y,p
p,v,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
d,y,n,p,o,w,p,w,w,s,s,b,t,w,b,y,e
g,v,h,l,o,w,p,n,b,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,p,p,k,k,b,e,p,b,y,p
p,y,h,l,o,w,p,b,b,k,k,b,e,p,b,y,p
d,v,n,p,o,w,p,p,w,s,s,b,t,p,b,f,e
d,v,n,p,o,w,p,w,p,s,s,b,t,p,b,y,e
d,y,n,p,o,w,p,p,p,s,s,b,t,n,b,y,e
g,v,h,l,o,w,p,n,b,k,k,b,e,h,b,f,p
p,y,h,l,o,w,p,p,b,k,k,b,e,h,b,f,p
d,y,k,p,o,w,p,p,g,s,s,b,t,u,b,y,e
g,y,h,l,o,w,p,b,p,k,k,b,e,g,b,y,p
d,v,n,p,o,w,p,w,g,s,s,b,t,u,b,f,e
p,v,h,l,o,w,p,p,n,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,n,p,k,k,b,e,p,b,y,p
d,v,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
l,v,w,e,o,w,p,n,w,f,f,b,e,w,n,f,e
d,v,h,l,o,w,p,n,n,k,k,b,e,h,b,f,p
g,y,h,l,o,w,p,p,n,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,n,p,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,b,p,k,k,b,e,p,b,y,p
u,s,h,p,o,w,p,w,w,s,f,b,t,w,b,s,p
d,v,h,l,o,w,p,n,n,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
p,y,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
p,v,h,l,o,w,p,p,n,k,k,b,e,h,b,f,p
d,y,h,l,o,w,p,p,p,k,k,b,e,g,b,f,p
d,y,k,p,o,w,p,w,p,s,s,b,t,w,b,f,e
p,y,h,l,o,w,p,b,b,k,k,b,e,p,b,f,p
p,y,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
d,y,k,p,o,w,p,p,p,s,s,b,t,u,b,y,e
p,v,h,l,o,w,p,p,b,k,k,b,e,h,b,y,p
d,y,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
d,y,h,l,o,w,p,n,p,k,k,b,e,g,b,y,p
d,y,k,p,o,w,p,w,w,s,s,b,t,w,b,f,e
g,v,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
p,y,h,l,o,w,p,p,p,k,k,b,e,g,b,f,p
d,y,n,p,o,w,p,w,p,s,s,b,t,p,b,y,e
d,v,n,p,o,w,p,g,p,s,s,b,t,u,b,f,e
d,v,h,l,o,w,p,n,n,k,k,b,e,h,b,y,p
p,v,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
d,v,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
p,y,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
g,y,h,l,o,w,p,n,p,k,k,b,e,p,b,y,p
u,s,h,p,o,w,p,w,w,f,f,b,t,w,b,s,p
d,y,n,p,o,w,p,p,p,s,s,b,t,u,b,f,e
d,v,w,e,o,w,p,p,p,k,k,?,t,b,n,y,p
d,v,n,p,o,w,p,w,g,s,s,b,t,n,b,y,e
d,v,k,p,o,w,p,w,w,s,s,b,e,n,n,f,p
d,v,n,p,o,w,p,w,w,s,s,b,e,n,n,f,p
l,v,w,e,o,w,p,w,p,k,s,?,t,b,n,y,p
p,y,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
g,v,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
u,s,h,p,o,w,p,w,w,f,s,b,t,w,b,s,p
p,y,h,l,o,w,p,p,b,k,k,b,e,h,b,y,p
d,y,h,l,o,w,p,b,b,k,k,b,e,p,b,f,p
p,y,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
d,y,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
d,y,h,l,o,w,p,b,b,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
g,y,h,l,o,w,p,p,p,k,k,b,e,h,b,f,p
g,y,h,l,o,w,p,b,b,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,n,n,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
g,y,h,l,o,w,p,p,b,k,k,b,e,g,b,f,p
g,v,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
u,v,h,p,o,w,p,w,w,s,s,b,t,h,b,s,p
g,y,h,l,o,w,p,n,n,k,k,b,e,h,b,f,p
g,y,h,l,o,w,p,b,p,k,k,b,e,p,b,f,p
d,y,h,l,o,w,p,p,n,k,k,b,e,p,b,y,p
d,y,h,l,o,w,p,n,p,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,p,b,k,k,b,e,g,b,f,p
p,v,h,l,o,w,p,n,b,k,k,b,e,h,b,y,p
p,y,h,l,o,w,p,b,n,k,k,b,e,p,b,y,p
d,v,n,p,o,w,p,w,w,s,s,b,t,p,b,y,e
d,v,h,l,o,w,p,p,n,k,k,b,e,h,b,f,p
d,y,h,l,o,w,p,p,b,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,p,n,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,p,b,k,k,b,e,g,b,f,p
p,v,h,l,o,w,p,p,p,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
p,y,h,l,o,w,p,p,p,k,k,b,e,p,b,y,p
u,s,h,p,o,w,p,w,w,f,f,b,t,p,b,s,p
g,v,h,l,o,w,p,n,p,k,k,b,e,h,b,f,p
d,v,h,l,o,w,p,p,b,k,k,b,e,p,b,f,p
p,y,h,l,o,w,p,n,n,k,k,b,e,h,b,y,p
d,y,h,l,o,w,p,b,p,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,n,b,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
g,y,h,l,o,w,p,b,n,k,k,b,e,p,b,y,p
p,y,h,l,o,w,p,p,b,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,b,p,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,b,n,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,n,n,k,k,b,e,p,b,y,p
d,v,h,l,o,w,p,b,n,k,k,b,e,g,b,y,p
g,s,h,p,o,w,p,w,w,s,f,b,t,h,b,s,p
g,y,h,l,o,w,p,b,n,k,k,b,e,p,b,f,p
g,s,h,p,o,w,p,w,w,s,f,b,t,p,b,s,p
d,v,h,l,o,w,p,b,p,k,k,b,e,h,b,y,p
d,v,h,l,o,w,p,n,n,k,k,b,e,p,b,y,p
g,y,h,l,o,w,p,b,n,k,k,b,e,g,b,f,p
g,y,h,l,o,w,p,n,n,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
d,y,n,p,o,w,p,g,g,s,s,b,t,u,b,y,e
p,y,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
p,y,h,l,o,w,p,n,p,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,b,p,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,p,n,k,k,b,e,h,b,y,p
d,y,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
p,v,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
p,y,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
d,s,k,p,o,w,p,w,w,s,s,b,e,p,n,f,p
d,y,h,l,o,w,p,n,n,k,k,b,e,g,b,y,p
g,y,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
g,y,h,l,o,w,p,p,b,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,n,p,k,k,b,e,g,b,y,p
g,v,h,l,o,w,p,n,p,k,k,b,e,g,b,f,p
d,v,h,l,o,w,p,n,p,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,n,b,k,k,b,e,h,b,f,p
p,v,h,l,o,w,p,p,b,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,b,p,k,k,b,e,h,b,y,p
d,v,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
p,y,h,l,o,w,p,b,b,k,k,b,e,g,b,y,p
d,v,h,l,o,w,p,n,p,k,k,b,e,p,b,y,p
p,y,h,l,o,w,p,n,b,k,k,b,e,h,b,f,p
l,v,w,e,o,w,p,n,w,f,f,b,e,w,n,y,e
p,y,h,l,o,w,p,n,n,k,k,b,e,p,b,f,p
g,y,h,l,o,w,p,p,n,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,p,p,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,b,n,k,k,b,e,h,b,y,p
p,y,h,l,o,w,p,p,b,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,p,p,k,k,b,e,p,b,f,p
w,c,w,e,t,w,p,w,w,s,s,?,e,e,b,s,e
p,v,h,l,o,w,p,b,n,k,k,b,e,p,b,f,p
d,y,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,b,p,k,k,b,e,p,b,y,p
p,y,h,l,o,w,p,p,b,k,k,b,e,g,b,y,p
d,v,h,l,o,w,p,b,b,k,k,b,e,g,b,f,p
g,y,h,l,o,w,p,n,p,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,b,n,k,k,b,e,h,b,y,p
w,c,w,e,t,w,p,e,w,s,s,?,e,e,b,s,e
d,v,h,l,o,w,p,n,p,k,k,b,e,p,b,f,p
p,v,h,l,o,w,p,n,p,k,k,b,e,p,b,f,p
p,y,h,l,o,w,p,n,b,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,b,n,k,k,b,e,p,b,f,p
p,y,h,l,o,w,p,p,n,k,k,b,e,h,b,f,p
p,y,h,l,o,w,p,b,n,k,k,b,e,p,b,f,p
g,y,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
g,y,h,l,o,w,p,n,b,k,k,b,e,g,b,y,p
d,y,h,l,o,w,p,n,n,k,k,b,e,h,b,f,p
d,v,h,l,o,w,p,p,p,k,k,b,e,g,b,f,p
g,v,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,n,p,k,k,b,e,g,b,f,p
g,y,h,l,o,w,p,b,p,k,k,b,e,h,b,f,p
d,y,n,p,o,w,p,w,p,s,s,b,t,w,b,y,e
d,y,h,l,o,w,p,b,p,k,k,b,e,h,b,y,p
d,v,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
g,v,h,l,o,w,p,n,b,k,k,b,e,g,b,y,p
g,v,h,l,o,w,p,b,p,k,k,b,e,p,b,y,p
g,y,h,l,o,w,p,n,b,k,k,b,e,p,b,y,p
p,y,h,l,o,w,p,b,p,k,k,b,e,g,b,y,p
d,y,h,l,o,w,p,b,b,k,k,b,e,p,b,f,p
g,v,h,l,o,w,p,n,p,k,k,b,e,g,b,f,p
p,y,h,l,o,w,p,b,n,k,k,b,e,p,b,y,p
g,v,h,l,o,w,p,p,b,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,b,p,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
d,y,h,l,o,w,p,p,b,k,k,b,e,g,b,y,p
g,y,h,l,o,w,p,n,n,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,b,p,k,k,b,e,p,b,f,p
p,y,h,l,o,w,p,p,b,k,k,b,e,g,b,f,p
g,y,h,l,o,w,p,b,n,k,k,b,e,p,b,y,p
g,y,h,l,o,w,p,b,b,k,k,b,e,h,b,y,p
p,v,h,l,o,w,p,b,n,k,k,b,e,p,b,y,p
d,v,h,f,o,w,p,w,w,f,s,?,e,p,n,y,e
g,y,h,l,o,w,p,b,n,k,k,b,e,p,b,y,p
d,y,h,l,o,w,p,p,b,k,k,b,e,g,b,f,p
p,v,w,e,o,w,p,w,w,s,k,?,t,b,n,y,p
d,v,h,l,o,w,p,n,b,k,k,b,e,h,b,y,p
d,v,w,e,o,w,p,n,w,y,k,?,e,w,n,y,p
d,y,h,l,o,w,p,p,b,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,n,b,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,p,b,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,p,n,k,k,b,e,g,b,y,p
d,v,h,l,o,w,p,p,p,k,k,b,e,p,b,f,p
d,v,h,l,o,w,p,p,n,k,k,b,e,g,b,f,p
d,v,h,l,o,w,p,b,n,k,k,b,e,g,b,y,p
g,y,h,l,o,w,p,n,n,k,k,b,e,p,b,y,p
g,y,h,l,o,w,p,n,p,k,k,b,e,g,b,y,p
d,y,k,p,o,w,p,p,g,s,s,b,t,w,b,y,e
p,y,h,l,o,w,p,n,n,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
p,v,h,l,o,w,p,b,b,k,k,b,e,p,b,f,p
g,y,h,l,o,w,p,b,n,k,k,b,e,h,b,f,p
g,v,h,l,o,w,p,p,p,k,k,b,e,h,b,f,p
g,y,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
u,s,h,p,o,w,p,w,w,s,s,b,t,w,b,s,p
g,v,h,l,o,w,p,b,p,k,k,b,e,p,b,y,p
p,v,h,l,o,w,p,n,n,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,n,b,k,k,b,e,g,b,y,p
d,v,h,l,o,w,p,b,p,k,k,b,e,p,b,f,p
g,y,h,l,o,w,p,n,n,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,n,b,k,k,b,e,p,b,y,p
w,c,w,e,t,w,p,e,w,s,s,?,e,e,b,s,e
d,v,h,l,o,w,p,p,p,k,k,b,e,g,b,f,p
d,y,h,l,o,w,p,p,n,k,k,b,e,p,b,f,p
d,y,h,l,o,w,p,n,n,k,k,b,e,g,b,y,p
p,y,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
d,v,h,l,o,w,p,n,n,k,k,b,e,g,b,y,p
g,y,h,l,o,w,p,b,b,k,k,b,e,h,b,f,p
l,c,w,p,o,w,p,w,w,s,s,b,e,w,n,y,p
u,v,h,p,o,w,p,w,w,s,s,b,t,h,b,s,p
p,y,h,l,o,w,p,p,b,k,k,b,e,p,b,y,p
d,y,h,l,o,w,p,b,b,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,p,p,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,p,b,k,k,b,e,p,b,y,p
d,y,h,l,o,w,p,n,n,k,k,b,e,g,b,f,p
d,v,h,l,o,w,p,p,p,k,k,b,e,h,b,y,p
g,v,h,l,o,w,p,p,b,k,k,b,e,p,b,f,p
g,y,h,l,o,w,p,p,b,k,k,b,e,p,b,f,p
u,s,h,p,o,w,p,w,w,f,f,b,t,w,b,s,p
d,v,n,p,o,w,p,p,g,s,s,b,t,n,b,y,e
d,v,w,e,o,w,p,p,w,k,s,?,t,b,n,y,p
d,y,h,l,o,w,p,p,p,k,k,b,e,p,b,y,p
g,y,h,l,o,w,p,n,p,k,k,b,e,g,b,f,p
d,v,k,p,o,w,p,g,p,s,s,b,t,n,b,y,e
w,c,w,e,t,w,p,e,w,s,s,?,e,e,b,y,e
g,y,h,l,o,w,p,n,n,k,k,b,e,h,b,y,p
d,y,h,l,o,w,p,n,b,k,k,b,e,g,b,y,p
p,v,h,l,o,w,p,b,n,k,k,b,e,h,b,y,p
g,y,h,l,o,w,p,n,n,k,k,b,e,p,b,y,p
g,y,h,l,o,w,p,n,b,k,k,b,e,g,b,f,p
g,y,h,l,o,w,p,b,b,k,k,b,e,p,b,y,p
