@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R22,13,4-5,23'

@attribute habitat {d,g,l,m,p,u,w}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute bruises? {f,t}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,f,f,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,s,f,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,f,f,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
g,f,f,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,f,f,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
g,s,f,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,s,f,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
g,k,f,f,p
p,k,f,f,p
g,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
p,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
p,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,f,c,p
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
g,k,f,f,p
p,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,f,c,p
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
p,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
d,s,f,c,p
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
d,k,f,f,p
g,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
g,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
d,s,t,n,e
p,k,f,f,p
d,k,f,f,p
p,k,f,f,p
g,k,f,f,p
d,s,f,c,p
d,k,f,f,p
d,k,f,f,p
p,k,f,f,p
d,k,f,f,p
d,k,f,f,p
d,s,t,n,e
g,k,f,f,p
p,k,f,f,p
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
g,k,f,f,p
d,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
g,k,f,f,p
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
p,k,f,f,p
g,k,f,f,p
d,k,f,f,p
p,k,f,f,p
p,k,f,f,p
d,s,f,c,p
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,f,c,p
g,k,f,f,p
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,k,f,f,p
g,k,f,f,p
d,s,t,n,e
g,k,f,f,p
g,k,f,f,p
g,k,f,f,p
g,k,f,f,p
d,s,f,c,p
d,s,f,c,p
p,k,f,f,p
p,k,f,f,p
d,k,f,f,p
d,s,t,n,e
u,s,t,f,p
d,k,f,f,p
d,s,t,n,e
d,k,f,f,p
p,k,f,f,p
p,k,f,f,p
g,k,f,f,p
g,k,f,f,p
p,k,f,f,p
p,k,f,f,p
d,s,f,c,p
p,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
g,k,f,f,p
g,k,f,f,p
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,f,c,p
g,s,t,f,p
p,k,f,f,p
w,s,t,n,e
g,k,f,f,p
g,k,f,f,p
g,k,f,f,p
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,k,f,f,p
g,k,f,f,p
d,s,f,c,p
d,s,f,c,p
g,k,f,f,p
g,s,t,f,p
g,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
d,k,f,f,p
p,k,f,f,p
d,k,f,f,p
p,k,f,f,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,k,f,f,p
p,k,f,f,p
p,s,f,y,p
p,k,f,f,p
g,k,f,f,p
d,s,f,c,p
g,k,f,f,p
g,f,t,f,p
d,k,f,f,p
d,k,f,f,p
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,k,f,f,p
p,k,f,f,p
g,k,f,f,p
d,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,k,f,f,p
p,k,f,f,p
d,k,f,f,p
d,s,f,c,p
d,k,f,f,p
d,s,t,n,e
d,s,f,c,p
d,k,f,f,p
d,k,f,f,p
d,s,f,c,p
d,k,f,f,p
p,k,f,f,p
d,s,t,n,e
p,k,f,f,p
p,k,f,f,p
d,s,f,c,p
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
d,k,f,f,p
g,k,f,f,p
d,k,f,f,p
d,k,f,f,p
p,k,f,f,p
d,s,t,n,e
p,k,f,f,p
p,k,f,f,p
p,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,f,f,n,e
d,s,t,n,e
g,k,f,f,p
g,k,f,f,p
d,k,f,f,p
p,k,f,f,p
p,k,f,f,p
d,k,f,f,p
p,k,f,f,p
p,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,s,t,n,e
d,k,f,f,p
d,k,f,f,p
d,s,t,n,e
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
d,s,t,n,e
p,k,f,f,p
d,s,f,c,p
d,k,f,f,p
d,s,f,y,p
p,k,f,f,p
d,k,f,f,p
d,s,t,n,e
l,s,f,f,p
d,s,t,n,e
m,s,t,n,p
d,s,t,n,e
g,k,f,f,p
d,s,t,n,e
p,k,f,f,p
g,k,f,f,p
g,k,f,f,p
d,s,t,n,e
p,k,f,f,p
g,k,f,f,p
d,k,f,f,p
p,k,f,f,p
g,k,f,f,p
g,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,k,f,f,p
g,k,f,f,p
d,s,t,n,e
p,k,f,f,p
p,k,f,f,p
d,s,t,n,e
p,k,f,f,p
d,s,t,n,e
g,k,f,f,p
d,k,f,f,p
d,k,f,f,p
d,s,f,c,p
d,s,t,n,e
g,k,f,f,p
d,k,f,f,p
p,k,f,f,p
d,s,t,n,e
d,k,f,f,p
