@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R15,13,9,20,8,5,23-weka.filters.unsupervised.attribute.Remove-V-R6-7'

@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
f,p
n,e
f,p
s,p
s,p
y,p
s,p
n,e
s,p
y,p
f,p
n,e
s,p
y,p
n,e
n,e
y,p
y,p
s,p
n,e
f,p
y,p
y,p
f,p
n,e
n,e
y,p
y,p
n,e
s,p
y,p
s,p
m,p
f,p
s,p
s,p
f,p
f,p
f,p
n,e
s,p
f,p
y,p
s,p
s,p
n,e
f,p
s,p
s,p
s,p
y,p
s,p
y,p
f,p
n,e
f,p
f,p
n,e
f,p
y,p
s,p
s,p
n,e
f,p
y,p
f,p
f,p
y,p
f,p
s,p
f,p
n,e
y,p
f,p
f,p
s,p
n,e
n,e
m,p
y,p
y,p
n,e
s,p
s,p
n,e
n,e
n,e
s,p
s,p
s,p
n,e
n,e
n,e
f,p
s,p
n,e
n,e
f,p
n,e
s,p
f,p
f,p
n,e
n,e
y,p
f,p
n,e
n,e
s,p
n,e
y,p
y,p
n,e
n,e
s,p
y,p
s,p
y,p
y,p
n,e
n,e
m,p
n,e
n,e
n,e
s,p
n,e
n,e
n,e
y,p
s,p
s,p
y,p
n,e
s,p
s,p
s,p
n,e
n,e
f,p
s,p
n,e
y,p
y,p
s,p
s,p
s,p
y,p
s,p
y,p
n,e
y,p
m,p
f,p
n,e
f,p
y,p
s,p
y,p
f,p
n,e
f,p
f,p
y,p
y,p
f,p
n,e
s,p
s,p
f,p
s,p
f,p
y,p
n,e
s,p
s,p
n,e
n,e
m,p
s,p
f,p
f,p
y,p
y,p
y,p
n,e
f,p
m,p
s,p
s,p
n,e
y,p
y,p
f,p
y,p
f,p
f,p
n,e
m,p
y,p
f,p
f,p
s,p
n,e
y,p
y,p
n,e
s,p
y,p
s,p
n,e
s,p
s,p
y,p
f,p
n,e
y,p
y,p
y,p
f,p
n,e
n,e
n,e
n,e
y,p
f,p
s,p
y,p
n,e
s,p
n,e
f,p
f,p
m,p
s,p
s,p
s,p
f,p
f,p
s,p
n,e
y,p
y,p
s,p
y,p
n,e
s,p
s,p
s,p
n,e
y,p
y,p
y,p
m,p
n,e
f,p
f,p
n,e
f,p
s,p
n,e
f,p
s,p
n,e
f,p
f,p
s,p
s,p
n,e
n,e
n,e
s,p
n,e
y,p
s,p
n,e
y,p
f,p
y,p
s,p
s,p
f,p
n,e
f,p
s,p
y,p
f,p
n,e
f,p
n,e
y,p
n,e
n,e
f,p
f,p
n,e
y,p
s,p
n,e
f,p
f,p
f,p
s,p
s,p
n,e
f,p
f,p
n,e
n,e
n,e
s,p
f,p
s,p
n,e
s,p
n,e
n,e
m,p
n,e
y,p
n,e
n,e
n,e
n,e
f,p
y,p
n,e
y,p
y,p
y,p
s,p
n,e
n,e
n,e
s,p
s,p
y,p
y,p
n,e
y,p
n,e
y,p
n,e
f,p
f,p
n,e
y,p
n,e
f,p
f,p
n,e
s,p
m,p
n,e
y,p
s,p
y,p
n,e
n,e
s,p
n,e
f,p
y,p
n,e
y,p
n,e
y,p
n,e
n,e
s,p
f,p
n,e
m,p
y,p
f,p
y,p
f,p
n,e
f,p
n,e
n,e
y,p
n,p
y,p
s,p
s,p
n,e
n,e
n,e
s,p
s,p
s,p
n,e
n,e
y,p
f,p
n,e
y,p
n,e
y,p
s,p
n,e
n,e
f,p
f,p
s,p
n,e
f,p
y,p
f,p
m,p
f,p
n,e
f,p
n,e
n,e
n,e
s,p
y,p
f,p
y,p
n,e
n,e
m,p
f,p
f,p
y,p
s,p
s,p
m,p
s,p
n,e
y,p
n,e
f,p
y,p
n,e
n,e
y,p
n,e
n,e
n,e
s,p
f,p
f,p
n,e
n,e
n,e
n,e
y,p
y,p
y,p
f,p
n,e
n,p
m,p
y,p
n,e
s,p
n,e
n,e
f,p
n,e
n,e
n,e
n,e
y,p
f,p
s,p
y,p
f,p
y,p
n,e
m,p
y,p
n,e
f,p
n,e
n,e
s,p
y,p
f,p
f,p
s,p
y,p
n,e
y,p
n,e
n,p
s,p
y,p
n,e
n,e
y,p
n,e
y,p
f,p
y,p
n,e
n,e
n,e
f,p
n,e
n,e
s,p
n,e
f,p
y,p
s,p
n,e
f,p
f,p
n,e
f,p
y,p
y,p
s,p
f,p
s,p
n,e
s,p
n,e
s,p
y,p
n,e
s,p
n,e
n,e
s,p
s,p
n,e
n,e
n,e
n,e
s,p
y,p
n,e
n,e
f,p
f,p
f,p
f,p
n,e
f,p
s,p
f,p
n,e
n,e
s,p
f,p
n,e
s,p
s,p
y,p
n,e
n,e
m,p
f,p
f,p
y,p
f,p
s,p
s,p
y,p
s,p
y,p
n,e
m,p
n,e
y,p
n,p
s,p
m,p
n,e
y,p
s,p
y,p
n,e
s,p
f,p
s,p
s,p
s,p
s,p
y,p
n,e
n,e
n,e
s,p
f,p
y,p
f,p
y,p
f,p
y,p
y,p
s,p
n,e
s,p
s,p
n,e
n,e
s,p
n,e
s,p
s,p
s,p
s,p
f,p
n,e
n,e
n,e
y,p
n,e
s,p
n,e
n,e
s,p
n,e
n,e
n,e
n,e
n,e
m,p
n,e
y,p
s,p
n,e
n,e
n,e
n,e
f,p
s,p
s,p
n,e
n,e
f,p
n,e
y,p
n,e
s,p
s,p
n,e
y,p
f,p
n,e
n,e
n,e
n,e
y,p
y,p
n,e
y,p
n,e
s,p
f,p
s,p
n,e
y,p
y,p
n,e
s,p
f,p
n,e
f,p
y,p
s,p
y,p
n,e
y,p
s,p
n,e
n,e
n,e
s,p
y,p
y,p
n,e
f,p
s,p
n,e
y,p
f,p
s,p
n,e
f,p
f,p
n,p
f,p
n,e
f,p
n,e
s,p
f,p
y,p
y,p
n,e
n,e
s,p
n,e
y,p
y,p
n,e
y,p
n,e
y,p
y,p
y,p
y,p
n,e
n,e
y,p
f,p
n,e
n,e
s,p
s,p
n,e
n,e
n,e
y,p
f,p
m,p
n,e
f,p
s,p
s,p
n,e
n,e
n,e
n,e
n,e
s,p
s,p
s,p
f,p
n,e
n,e
n,e
n,e
s,p
f,p
y,p
y,p
f,p
n,e
n,e
y,p
y,p
n,e
s,p
n,e
n,e
s,p
s,p
s,p
s,p
f,p
n,e
f,p
n,e
n,e
y,p
f,p
f,p
n,e
s,p
n,e
f,p
n,e
f,p
s,p
n,e
f,p
s,p
n,e
n,e
y,p
s,p
n,e
y,p
f,p
s,p
f,p
f,p
n,e
n,e
s,p
n,e
n,e
y,p
n,e
n,e
n,p
f,p
f,p
m,p
n,e
s,p
n,e
f,p
m,p
s,p
n,e
n,e
s,p
y,p
n,e
n,e
s,p
n,e
n,e
n,e
y,p
m,p
s,p
n,e
f,p
s,p
y,p
s,p
f,p
f,p
n,e
n,e
s,p
n,p
n,e
n,e
s,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
s,p
n,e
n,e
f,p
s,p
f,p
f,p
s,p
n,e
s,p
n,e
n,e
n,e
s,p
n,e
f,p
f,p
s,p
n,e
f,p
s,p
n,e
y,p
y,p
f,p
n,e
n,e
s,p
n,e
y,p
s,p
n,e
n,e
f,p
s,p
f,p
f,p
n,e
y,p
n,e
n,e
s,p
y,p
s,p
n,e
y,p
n,e
s,p
s,p
s,p
m,p
s,p
n,e
y,p
m,p
y,p
n,e
s,p
n,e
n,e
n,e
s,p
n,e
n,e
s,p
y,p
n,e
n,e
f,p
m,p
f,p
f,p
n,e
f,p
n,e
s,p
s,p
n,e
n,e
n,e
n,e
y,p
n,e
n,e
y,p
n,e
f,p
n,e
y,p
n,e
s,p
n,e
n,e
n,e
n,e
y,p
n,e
f,p
s,p
f,p
f,p
s,p
s,p
n,e
s,p
y,p
s,p
n,e
n,e
n,e
f,p
f,p
s,p
f,p
f,p
n,e
n,e
f,p
f,p
n,e
n,e
n,e
s,p
f,p
y,p
y,p
s,p
n,e
f,p
s,p
f,p
n,e
y,p
y,p
f,p
n,e
n,e
s,p
s,p
n,e
s,p
y,p
n,e
n,e
n,e
y,p
s,p
n,e
y,p
n,e
s,p
y,p
f,p
n,e
n,e
f,p
n,e
f,p
n,e
m,p
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
n,e
f,p
n,e
n,e
f,p
y,p
s,p
s,p
n,e
s,p
n,e
f,p
n,e
s,p
n,e
f,p
y,p
f,p
n,e
n,e
n,e
n,e
m,p
y,p
f,p
n,e
n,e
n,e
s,p
y,p
s,p
y,p
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
y,p
y,p
f,p
n,e
n,e
n,e
f,p
f,p
y,p
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
s,p
n,e
f,p
m,p
y,p
n,e
n,e
n,e
n,e
f,p
n,e
y,p
f,p
n,e
f,p
n,e
n,e
y,p
n,e
y,p
s,p
n,e
n,e
n,e
n,e
n,e
f,p
s,p
y,p
f,p
f,p
n,e
n,e
n,e
s,p
n,e
n,e
n,e
s,p
n,e
n,e
n,e
y,p
y,p
y,p
y,p
f,p
n,e
n,e
f,p
f,p
n,e
n,e
f,p
f,p
f,p
n,e
n,e
n,e
y,p
n,e
f,p
n,e
y,p
n,e
n,e
n,e
y,p
n,e
y,p
y,p
f,p
s,p
n,e
n,e
f,p
n,e
n,e
n,e
n,e
s,p
f,p
s,p
s,p
y,p
n,e
f,p
n,e
f,p
n,e
n,e
n,e
s,p
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
f,p
s,p
f,p
s,p
y,p
n,e
n,e
n,e
f,p
n,e
f,p
f,p
f,p
y,p
y,p
n,e
m,p
n,e
s,p
y,p
n,e
n,e
s,p
n,e
n,e
n,e
n,e
n,e
n,e
y,p
n,e
n,e
n,e
n,e
y,p
m,p
n,e
s,p
y,p
f,p
n,e
n,e
n,e
y,p
n,e
